net,length_um
s_wdata[29],32.195µm
net264,32.16µm
net384,32.16µm
s_araddr[63],32.135µm
s_rdata[100],32.075µm
_0102_,31.99µm
s_araddr[24],31.92µm
s_araddr[58],31.92µm
s_araddr[85],31.92µm
net37,31.89µm
net452,31.845µm
net413,31.81µm
m_araddr[21],31.8µm
s_rdata[74],31.8µm
s_araddr[104],31.735µm
s_wdata[33],31.715µm
net830,31.71µm
net840,31.71µm
net168,31.63µm
net476,31.62µm
_0055_,31.51µm
m_araddr[19],31.485µm
s_arready[2],31.415µm
s_wdata[81],31.365µm
s_wdata[87],31.365µm
s_araddr[74],31.355µm
s_awaddr[41],31.355µm
s_wdata[51],31.355µm
s_wdata[74],31.355µm
s_araddr[117],31.33µm
net675,31.32µm
s_arprot[5],31.28µm
s_wdata[120],31.235µm
s_araddr[0],31.21µm
_0051_,31.14µm
net51,31.14µm
net57,31.14µm
net15,31.035µm
s_wdata[111],30.995µm
s_araddr[56],30.96µm
net671,30.91µm
net166,30.85µm
s_wdata[10],30.825µm
_0333_,30.79µm
net139,30.73µm
net778,30.725µm
net253,30.72µm
s_wdata[103],30.705µm
s_awaddr[106],30.695µm
s_awaddr[3],30.525µm
net685,30.49µm
m_rdata[23],30.395µm
s_arprot[2],30.395µm
s_wdata[101],30.395µm
s_wdata[71],30.395µm
s_araddr[26],30.37µm
s_rdata[82],30.36µm
s_rdata[52],30.335µm
s_wdata[117],30.31µm
s_wdata[23],30.275µm
s_rdata[12],30.165µm
net831,30.08µm
s_arprot[0],30.06µm
s_awaddr[114],30.02µm
net102,30µm
m_araddr[9],29.915µm
s_awprot[7],29.88µm
net14,29.83µm
net387,29.83µm
m_awaddr[2],29.82µm
s_rdata[80],29.76µm
s_awprot[0],29.745µm
s_wdata[26],29.745µm
s_rdata[112],29.65µm
s_araddr[32],29.58µm
net595,29.52µm
m_rdata[21],29.495µm
s_wdata[88],29.495µm
net799,29.475µm
net470,29.47µm
m_rdata[10],29.4µm
s_awaddr[37],29.4µm
s_rvalid[1],29.375µm
s_wdata[19],29.36µm
s_awaddr[105],29.315µm
net110,29.29µm
m_wdata[6],29.28µm
m_araddr[24],29.28µm
s_rdata[14],29.28µm
net820,29.27µm
net259,29.18µm
s_rdata[35],29.105µm
net811,29.06µm
m_wdata[22],29.04µm
s_awprot[2],29.04µm
net69,29µm
net824,28.96µm
m_rdata[30],28.835µm
s_rdata[48],28.8µm
s_rdata[99],28.8µm
net350,28.76µm
s_araddr[12],28.76µm
net356,28.75µm
m_awaddr[11],28.655µm
s_wdata[70],28.62µm
s_wdata[95],28.62µm
net299,28.57µm
s_araddr[80],28.535µm
s_wdata[55],28.535µm
m_rdata[25],28.475µm
net843,28.455µm
net478,28.44µm
s_araddr[103],28.44µm
s_araddr[15],28.44µm
s_araddr[47],28.44µm
s_araddr[88],28.44µm
s_awaddr[102],28.44µm
s_awaddr[65],28.44µm
s_rdata[0],28.415µm
s_rdata[114],28.415µm
s_rdata[64],28.415µm
s_rvalid[0],28.415µm
s_araddr[79],28.39µm
net152,28.245µm
net188,28.21µm
net298,28.14µm
s_wdata[17],28.065µm
s_rdata[101],28.055µm
s_rdata[50],28.055µm
s_awaddr[10],28.055µm
net557,28.03µm
s_araddr[116],28.02µm
s_wdata[85],28.02µm
m_rvalid,27.995µm
net27,27.92µm
s_awaddr[33],27.91µm
s_rdata[44],27.86µm
s_wdata[53],27.85µm
net681,27.72µm
m_wdata[14],27.695µm
s_rdata[73],27.635µm
net88,27.61µm
net628,27.6µm
s_araddr[105],27.575µm
s_arprot[11],27.575µm
s_awaddr[74],27.575µm
s_wdata[15],27.575µm
s_wdata[36],27.575µm
net92,27.525µm
m_rdata[4],27.525µm
s_rdata[26],27.515µm
s_araddr[108],27.48µm
s_araddr[120],27.48µm
s_araddr[7],27.48µm
s_awaddr[66],27.48µm
s_awaddr[69],27.48µm
s_awprot[8],27.48µm
s_rdata[67],27.425µm
_0307_,27.375µm
s_wstrb[2],27.355µm
net389,27.32µm
m_rdata[3],27.32µm
net290,27.26µm
m_araddr[26],27.25µm
net378,27.24µm
s_awaddr[38],27.18µm
_0162_,27.13µm
net442,27.13µm
s_awaddr[99],27.095µm
s_wdata[47],27.095µm
s_wvalid[3],27.095µm
s_wdata[119],27.035µm
net131,27µm
s_araddr[42],26.985µm
s_awaddr[101],26.95µm
s_awaddr[1],26.95µm
net19,26.905µm
m_araddr[25],26.88µm
s_rdata[106],26.88µm
m_rdata[26],26.795µm
net368,26.765µm
s_awprot[4],26.76µm
net636,26.71µm
net146,26.7µm
s_wdata[28],26.675µm
s_araddr[13],26.64µm
s_araddr[75],26.615µm
s_awaddr[35],26.615µm
s_wstrb[14],26.615µm
s_wvalid[1],26.615µm
s_awaddr[70],26.58µm
s_awaddr[97],26.58µm
net803,26.49µm
m_araddr[0],26.47µm
net826,26.42µm
s_rdata[17],26.41µm
net67,26.4µm
net552,26.35µm
net806,26.35µm
net108,26.29µm
s_rdata[39],26.29µm
net692,26.16µm
s_awaddr[72],26.1µm
s_rdata[121],26.075µm
m_rdata[16],26.05µm
s_araddr[29],26.025µm
s_araddr[93],26.015µm
s_rdata[41],25.955µm
s_rdata[10],25.92µm
s_rdata[110],25.92µm
s_rdata[34],25.92µm
s_rdata[46],25.92µm
s_rdata[8],25.92µm
m_rdata[2],25.92µm
net255,25.87µm
m_awaddr[10],25.855µm
net501,25.75µm
_0049_,25.7µm
m_wdata[31],25.69µm
net672,25.69µm
net461,25.68µm
net167,25.58µm
s_rdata[43],25.57µm
s_awaddr[60],25.56µm
net191,25.51µm
s_wdata[24],25.475µm
net403,25.45µm
net118,25.44µm
s_araddr[110],25.415µm
net348,25.38µm
net117,25.21µm
s_awaddr[116],25.21µm
net127,25.2µm
s_araddr[101],25.2µm
s_araddr[46],25.175µm
net396,25.15µm
net130,25.125µm
m_wdata[10],25.115µm
m_wdata[24],25.115µm
s_wstrb[0],25.115µm
s_rdata[18],25.055µm
s_rdata[69],25.055µm
net533,25.005µm
s_rdata[7],24.97µm
net669,24.91µm
net22,24.87µm
m_wdata[17],24.815µm
s_awaddr[88],24.78µm
m_araddr[17],24.755µm
net180,24.72µm
s_awaddr[6],24.72µm
s_wdata[35],24.72µm
_0056_,24.68µm
m_rdata[17],24.66µm
s_araddr[122],24.66µm
s_araddr[45],24.66µm
s_araddr[53],24.66µm
s_araddr[55],24.66µm
s_araddr[77],24.66µm
s_awaddr[96],24.66µm
s_wdata[126],24.66µm
net621,24.61µm
m_araddr[20],24.6µm
m_araddr[22],24.6µm
