_0367_,16.56µm
net159,16.14µm
boot_addr[21],16.14µm
boot_addr[23],16.14µm
boot_addr[24],16.14µm
boot_wdata[14],16.14µm
boot_wdata[15],16.14µm
boot_wdata[22],16.14µm
boot_wdata[23],16.14µm
boot_wdata[6],16.14µm
spi_mosi,16.14µm
net,16.14µm
_0151_,15.91µm
_0339_,15.865µm
u_boot_ctrl.word_asm\[9\],15.865µm
u_spi.bit_cnt\[3\],15.85µm
net50,15.835µm
u_boot_ctrl.word_asm\[8\],15.805µm
_0333_,15.72µm
_0494_,15.67µm
_0045_,15.62µm
u_boot_ctrl.word_asm\[23\],15.56µm
net339,15.505µm
_0214_,15.37µm
u_boot_ctrl.word_cnt\[12\],15.06µm
_0393_,14.94µm
u_boot_ctrl.word_asm\[21\],14.935µm
u_boot_ctrl.state\[5\],14.82µm
_0323_,14.76µm
_0261_,14.65µm
_0067_,14.6µm
_0326_,14.41µm
_0509_,14.41µm
_0485_,14.29µm
_0043_,14.28µm
u_boot_ctrl.word_asm\[30\],14.265µm
_0357_,14.205µm
u_boot_ctrl.word_asm\[31\],14.2µm
_0068_,14.18µm
_0158_,14.17µm
_0489_,14.11µm
_0071_,14.1µm
_0329_,14µm
net39,13.98µm
u_spi.tx_shift\[5\],13.94µm
_0289_,13.92µm
_0070_,13.87µm
_0009_,13.75µm
u_boot_ctrl.word_asm\[0\],13.74µm
_0252_,13.69µm
_0341_,13.69µm
net4,13.64µm
_0219_,13.57µm
net372,13.44µm
_0402_,13.21µm
net12,13.165µm
_0353_,13.09µm
boot_wdata[11],13.055µm
_0102_,12.96µm
_0250_,12.91µm
_0519_,12.9µm
_0065_,12.79µm
_0107_,12.43µm
net333,12.43µm
net346,12.43µm
net353,12.26µm
_0175_,12.24µm
_0310_,12.19µm
_0407_,12µm
_0408_,11.95µm
_0228_,11.94µm
boot_wdata[0],11.905µm
_0248_,11.89µm
boot_wdata[28],11.605µm
_0157_,11.59µm
net332,11.59µm
_0051_,11.58µm
_0398_,11.53µm
_0496_,11.31µm
net173,11.29µm
net180,11.29µm
net234,11.29µm
net271,11.29µm
net282,11.29µm
boot_wdata[3],11.255µm
u_boot_ctrl.word_asm\[28\],11.16µm
u_boot_ctrl.word_asm\[20\],11.15µm
_0123_,11.11µm
boot_wdata[17],11.065µm
boot_wdata[20],11.065µm
_0478_,11.04µm
_0511_,11.04µm
_0281_,10.99µm
net350,10.99µm
net192,10.965µm
_0153_,10.935µm
_0218_,10.93µm
boot_wdata[25],10.885µm
_0033_,10.86µm
_0008_,10.69µm
spi_miso,10.645µm
_0138_,10.63µm
_0394_,10.57µm
boot_addr[31],10.56µm
_0418_,10.51µm
net162,10.45µm
net216,10.45µm
net258,10.45µm
u_boot_ctrl.word_asm\[2\],10.38µm
_0473_,10.33µm
_0055_,10.32µm
_0401_,10.32µm
_0422_,10.27µm
_0259_,10.09µm
_0396_,10.09µm
net336,10.09µm
net347,10.09µm
net360,10.09µm
boot_wdata[13],10.045µm
_0037_,10.03µm
_0161_,10.03µm
_0386_,10.03µm
net364,10.03µm
_0225_,9.97µm
_0331_,9.97µm
net186,9.97µm
net230,9.97µm
_0231_,9.96µm
net351,9.96µm
_0034_,9.91µm
_0040_,9.91µm
net334,9.91µm
_0410_,9.9µm
_0278_,9.86µm
_0483_,9.86µm
net320,9.85µm
u_boot_ctrl.word_asm\[27\],9.78µm
_0013_,9.67µm
_0023_,9.66µm
_0029_,9.66µm
_0236_,9.66µm
u_spi.tx_shift\[1\],9.64µm
_0324_,9.635µm
_0222_,9.585µm
_0047_,9.55µm
_0217_,9.55µm
_0526_,9.55µm
net337,9.55µm
u_boot_ctrl.word_asm\[29\],9.535µm
_0054_,9.43µm
_0056_,9.42µm
net345,9.38µm
_0428_,9.37µm
net273,9.37µm
net370,9.285µm
_0437_,9.24µm
_0022_,9.19µm
boot_wdata[5],9.155µm
_0420_,9.13µm
_0100_,9.01µm
_0166_,9.01µm
_0366_,9.01µm
_0229_,9µm
_0254_,9µm
_0432_,8.995µm
boot_wdata[26],8.965µm
_0433_,8.88µm
net201,8.88µm
net231,8.88µm
net260,8.88µm
net160,8.88µm
boot_addr[16],8.88µm
net367,8.76µm
boot_wdata[16],8.735µm
boot_wdata[4],8.735µm
_0463_,8.71µm
boot_addr[26],8.7µm
_0021_,8.59µm
boot_we,8.545µm
_0388_,8.515µm
_0307_,8.47µm
u_boot_ctrl.word_asm\[26\],8.47µm
boot_addr[17],8.46µm
boot_addr[28],8.46µm
boot_addr[30],8.46µm
u_boot_ctrl.word_asm\[25\],8.425µm
_0528_,8.4µm
boot_wdata[8],8.315µm
u_boot_ctrl.word_asm\[24\],8.23µm
_0049_,8.22µm
_0152_,8.22µm
_0332_,8.22µm
u_boot_ctrl.word_asm\[3\],8.195µm
_0086_,8.17µm
_0002_,8.16µm
_0249_,8.16µm
_0260_,8.16µm
_0262_,8.16µm
_0524_,8.16µm
_0375_,8.125µm
boot_wdata[27],8.125µm
_0251_,8.04µm
_0263_,8.04µm
_0270_,8.04µm
_0253_,7.98µm
net369,7.94µm
net170,7.93µm
net193,7.93µm
_0110_,7.87µm
_0042_,7.74µm
net70,7.74µm
_0525_,7.72µm
_0099_,7.69µm
_0044_,7.68µm
_0098_,7.68µm
_0120_,7.68µm
_0266_,7.68µm
net315,7.68µm
_0426_,7.63µm
_0389_,7.62µm
rst_ni,7.62µm
_0477_,7.57µm
_0267_,7.56µm
_0351_,7.56µm
net269,7.56µm
u_boot_ctrl.word_asm\[4\],7.56µm
_0246_,7.51µm
_0384_,7.5µm
_0507_,7.485µm
_0202_,7.465µm
net342,7.46µm
net164,7.45µm
u_boot_ctrl.word_cnt\[30\],7.45µm
_0189_,7.38µm
_0195_,7.33µm
_0505_,7.33µm
_0288_,7.285µm
boot_wdata[10],7.285µm
boot_wdata[12],7.285µm
boot_wdata[18],7.285µm
boot_wdata[19],7.285µm
boot_wdata[29],7.285µm
boot_wdata[31],7.285µm
_0347_,7.26µm
net330,7.26µm
