net,length_um
clknet_leaf_113_clk_i,180.93µm
clknet_5_23__leaf_clk_i,180.745µm
net681,180.67µm
net1221,180.63µm
net1376,180.575µm
_02905_,180.51µm
net600,180.46µm
u_picorv32.picorv32_core.decoded_imm_j\[13\],180.415µm
clknet_5_17__leaf_clk_i,180.355µm
clknet_leaf_70_clk_i,180.32µm
_03339_,180.04µm
clknet_leaf_15_clk_i,179.95µm
_05216_,179.8µm
net1106,179.785µm
net1092,179.7µm
clknet_leaf_66_clk_i,178.95µm
u_picorv32.picorv32_core.decoded_imm_j\[14\],178.775µm
net1175,178.595µm
_05190_,178.59µm
_01920_,178.48µm
net1017,178.255µm
_05696_,178.23µm
clknet_5_2__leaf_clk_i,178.205µm
clknet_leaf_88_clk_i,178.17µm
u_picorv32.picorv32_core.decoded_imm\[3\],177.975µm
clknet_leaf_56_clk_i,177.9µm
net1485,177.715µm
net922,177.705µm
_05152_,177.69µm
net362,177.54µm
_05060_,177.3µm
net1220,177.25µm
_05776_,176.94µm
net1445,176.905µm
net1130,176.88µm
net3162,176.86µm
_05459_,176.77µm
u_picorv32.picorv32_core.decoded_imm\[4\],176.75µm
clknet_leaf_119_clk_i,176.66µm
net873,176.465µm
u_picorv32.pcpi_rs1\[0\],176.46µm
clknet_leaf_133_clk_i,176.385µm
clknet_leaf_32_clk_i,176.245µm
_02991_,176.225µm
u_picorv32.picorv32_core.instr_or,176.205µm
net1152,176.07µm
net715,175.865µm
clknet_leaf_10_clk_i,175.795µm
net812,175.785µm
u_picorv32.picorv32_core.is_lb_lh_lw_lbu_lhu,175.77µm
clknet_leaf_99_clk_i,175.645µm
clknet_leaf_115_clk_i,175.625µm
clknet_leaf_93_clk_i,175.55µm
net1414,175.41µm
u_picorv32.picorv32_core.alu_out_q\[17\],175.08µm
net141,175.01µm
net1429,174.93µm
net1394,174.81µm
net1050,174.49µm
net1252,174.27µm
net1398,174.185µm
net808,174.135µm
clknet_leaf_116_clk_i,173.965µm
_05797_,173.64µm
_05748_,173.37µm
_01941_,173.265µm
net1144,173.2µm
u_picorv32.picorv32_core.alu_out_q\[16\],173.18µm
u_picorv32.pcpi_rs2\[7\],173.085µm
u_picorv32.picorv32_core.mem_wordsize\[1\],173.025µm
net1362,172.875µm
net924,172.315µm
net256,172.205µm
net635,172.205µm
clknet_leaf_34_clk_i,172.195µm
clknet_leaf_55_clk_i,171.89µm
u_picorv32.picorv32_core.alu_out\[31\],171.86µm
net3164,171.68µm
clknet_leaf_114_clk_i,171.63µm
clknet_leaf_79_clk_i,171.105µm
net1101,171.095µm
u_picorv32.picorv32_core.decoded_imm_j\[12\],171.01µm
u_picorv32.pcpi_rs2\[11\],170.905µm
clknet_leaf_96_clk_i,170.8µm
