net,length_um
net66,20.22µm
_120_,20.18µm
_207_,20.17µm
s_axil_araddr[28],20.12µm
net76,19.99µm
net454,19.93µm
net480,19.92µm
s_axil_awaddr[29],19.8µm
net335,19.72µm
_214_,19.68µm
net102,19.63µm
net113,19.62µm
net120,19.62µm
net138,19.62µm
net393,19.62µm
_185_,19.56µm
_004_,19.47µm
net318,19.35µm
s_axil_araddr[20],19.32µm
_159_,19.28µm
s_axil_wdata[30],19.255µm
net496,19.16µm
_194_,19.14µm
net319,18.985µm
net465,18.85µm
net471,18.85µm
net431,18.84µm
s_axil_araddr[15],18.8µm
s_axil_araddr[26],18.8µm
s_axil_araddr[2],18.8µm
s_axil_araddr[4],18.8µm
s_axil_awaddr[17],18.8µm
s_axil_wdata[10],18.8µm
s_axil_wdata[11],18.8µm
s_axil_wdata[12],18.8µm
s_axil_wdata[25],18.8µm
s_axil_wdata[5],18.8µm
s_axil_wdata[6],18.8µm
s_axil_wdata[7],18.8µm
s_axil_wdata[8],18.8µm
s_axil_wdata[9],18.8µm
net87,18.78µm
net423,18.74µm
read_state_q\[1\],18.66µm
net495,18.63µm
net338,18.615µm
s_axil_awaddr[31],18.61µm
net362,18.595µm
net404,18.54µm
_180_,18.49µm
s_axil_araddr[10],18.36µm
s_axil_araddr[11],18.36µm
s_axil_araddr[17],18.36µm
s_axil_araddr[19],18.36µm
s_axil_araddr[1],18.36µm
s_axil_araddr[21],18.36µm
s_axil_araddr[23],18.36µm
s_axil_araddr[25],18.36µm
s_axil_araddr[29],18.36µm
s_axil_araddr[30],18.36µm
s_axil_araddr[31],18.36µm
s_axil_araddr[5],18.36µm
s_axil_araddr[6],18.36µm
s_axil_araddr[7],18.36µm
s_axil_araddr[8],18.36µm
s_axil_awaddr[21],18.36µm
s_axil_awaddr[22],18.36µm
s_axil_awaddr[23],18.36µm
s_axil_awaddr[25],18.36µm
s_axil_awaddr[26],18.36µm
s_axil_awaddr[30],18.36µm
s_axil_wdata[13],18.36µm
s_axil_wdata[14],18.36µm
s_axil_wdata[15],18.36µm
s_axil_wdata[16],18.36µm
s_axil_wdata[17],18.36µm
s_axil_wdata[18],18.36µm
s_axil_wdata[19],18.36µm
s_axil_wdata[1],18.36µm
s_axil_wdata[20],18.36µm
s_axil_wdata[21],18.36µm
s_axil_wdata[22],18.36µm
s_axil_wdata[23],18.36µm
s_axil_wdata[27],18.36µm
s_axil_wdata[28],18.36µm
s_axil_wdata[29],18.36µm
s_axil_wdata[2],18.36µm
s_axil_wdata[31],18.36µm
s_axil_wdata[3],18.36µm
s_axil_wdata[4],18.36µm
s_axil_wstrb[0],18.36µm
s_axil_wstrb[1],18.36µm
s_axil_wstrb[2],18.36µm
s_axil_wstrb[3],18.36µm
net62,18.3µm
s_axil_wdata[0],18.265µm
_203_,18.24µm
sram_addr\[4\],18.12µm
net440,18.07µm
net494,18.055µm
_217_,18µm
net403,18µm
_315_,17.985µm
net413,17.965µm
net348,17.89µm
s_axil_wdata[26],17.88µm
net54,17.82µm
net332,17.78µm
w_pending_q,17.76µm
_197_,17.71µm
net461,17.71µm
net280,17.67µm
net292,17.665µm
net333,17.64µm
net365,17.54µm
s_axil_araddr[0],17.4µm
s_axil_araddr[12],17.4µm
s_axil_araddr[13],17.4µm
s_axil_araddr[14],17.4µm
s_axil_araddr[18],17.4µm
s_axil_araddr[22],17.4µm
s_axil_araddr[24],17.4µm
s_axil_awaddr[0],17.4µm
s_axil_awaddr[10],17.4µm
s_axil_awaddr[11],17.4µm
s_axil_awaddr[12],17.4µm
s_axil_awaddr[13],17.4µm
s_axil_awaddr[14],17.4µm
s_axil_awaddr[15],17.4µm
s_axil_awaddr[16],17.4µm
s_axil_awaddr[18],17.4µm
s_axil_awaddr[19],17.4µm
s_axil_awaddr[1],17.4µm
s_axil_awaddr[20],17.4µm
s_axil_awaddr[2],17.4µm
s_axil_awaddr[3],17.4µm
s_axil_awaddr[4],17.4µm
s_axil_awaddr[5],17.4µm
s_axil_awaddr[6],17.4µm
s_axil_awaddr[7],17.4µm
s_axil_awaddr[8],17.4µm
s_axil_awaddr[9],17.4µm
net563,17.35µm
_184_,17.34µm
_188_,17.34µm
net379,17.29µm
net48,17.23µm
net125,17.22µm
net420,17.11µm
net486,17.11µm
net69,17.05µm
net279,16.95µm
net367,16.94µm
net52,16.92µm
s_axil_awaddr[27],16.92µm
net432,16.86µm
net313,16.825µm
_263_,16.8µm
_182_,16.75µm
net129,16.74µm
_233_,16.725µm
net575,16.69µm
_200_,16.56µm
_221_,16.56µm
net554,16.52µm
read_addr_q\[7\],16.5µm
net374,16.5µm
net275,16.47µm
net394,16.46µm
net99,16.38µm
net455,16.305µm
sram_addr\[0\],16.26µm
_006_,16.22µm
net263,16.185µm
net406,16.15µm
_304_,16.11µm
net342,16.09µm
net258,16.08µm
_112_,15.97µm
net306,15.955µm
net141,15.945µm
net506,15.91µm
net290,15.875µm
net273,15.865µm
net284,15.865µm
_332_,15.84µm
net572,15.8µm
net353,15.78µm
net312,15.75µm
net322,15.75µm
_269_,15.73µm
net321,15.705µm
_116_,15.67µm
net320,15.665µm
net386,15.63µm
net569,15.6µm
read_addr_q\[3\],15.54µm
net272,15.51µm
net307,15.51µm
_111_,15.49µm
net114,15.42µm
_316_,15.35µm
net101,15.31µm
_001_,15.3µm
_301_,15.3µm
net257,15.27µm
net287,15.27µm
net328,15.27µm
net314,15.185µm
_129_,15.18µm
net278,15.155µm
_017_,15.15µm
_318_,15.01µm
_005_,14.91µm
net268,14.875µm
_196_,14.83µm
_150_,14.82µm
_323_,14.82µm
net217,14.8µm
net336,14.76µm
_139_,14.65µm
net288,14.55µm
net315,14.55µm
_283_,14.53µm
_142_,14.41µm
sram_addr\[1\],14.385µm
_146_,14.35µm
_186_,14.35µm
_222_,14.35µm
read_state_q\[2\],14.35µm
net309,14.31µm
net316,14.305µm
_218_,14.29µm
wdata_q\[2\],14.29µm
net300,14.275µm
net311,14.275µm
net293,14.235µm
net305,14.235µm
net438,14.23µm
net297,14.225µm
_023_,14.205µm
net298,14.195µm
net261,14.185µm
net446,14.17µm
_314_,14.16µm
net283,14.155µm
net303,14.155µm
net259,14.07µm
net264,14.07µm
net266,14.07µm
net271,14.07µm
net276,14.07µm
net281,14.07µm
net296,14.07µm
net301,14.07µm
net310,14.07µm
net294,14.035µm
net269,14.025µm
net299,13.995µm
net60,13.99µm
net262,13.985µm
net308,13.985µm
net304,13.955µm
net267,13.945µm
net277,13.915µm
net289,13.915µm
_268_,13.87µm
net53,13.87µm
_327_,13.86µm
net260,13.83µm
net265,13.83µm
net270,13.83µm
net282,13.83µm
net295,13.83µm
net302,13.83µm
net444,13.81µm
_106_,13.75µm
_281_,13.68µm
_326_,13.68µm
net274,13.675µm
_296_,13.57µm
read_addr_q\[5\],13.545µm
_212_,13.5µm
_328_,13.39µm
net70,13.38µm
net71,13.38µm
wdata_q\[27\],13.33µm
wdata_q\[24\],13.15µm
net390,13.15µm
_264_,13.09µm
_285_,13.09µm
_041_,13.02µm
_190_,12.91µm
net535,12.91µm
_067_,12.79µm
clknet_0_clk_i,12.74µm
_110_,12.49µm
_072_,12.43µm
net83,12.43µm
_288_,12.42µm
net489,12.42µm
_076_,12.37µm
_325_,12.37µm
wdata_q\[14\],12.37µm
wdata_q\[26\],12.37µm
_297_,12.31µm
_225_,12.24µm
_287_,12.24µm
boot_we,12.24µm
net429,12.14µm
_080_,12.12µm
_100_,12.06µm
_236_,12µm
_107_,11.95µm
net122,11.95µm
_134_,11.94µm
read_addr_q\[8\],11.94µm
wdata_q\[11\],11.89µm
_320_,11.65µm
wdata_q\[1\],11.58µm
net419,11.49µm
_178_,11.47µm
net92,11.47µm
net133,11.47µm
net73,11.46µm
_241_,11.4µm
net557,11.4µm
wdata_q\[20\],11.385µm
_260_,11.29µm
net522,11.29µm
net381,11.145µm
wdata_q\[31\],11.1µm
wdata_q\[3\],11.1µm
net433,11.1µm
_234_,11.05µm
net544,11.05µm
net559,11.04µm
read_addr_q\[9\],11.025µm
net64,10.99µm
_272_,10.98µm
_286_,10.98µm
awaddr_q\[8\],10.98µm
sram_addr\[6\],10.98µm
net519,10.93µm
net538,10.93µm
sram_addr\[5\],10.92µm
_086_,10.87µm
net417,10.82µm
_024_,10.81µm
_312_,10.8µm
_334_,10.76µm
net450,10.57µm
_237_,10.56µm
awaddr_q\[11\],10.56µm
sram_addr\[8\],10.56µm
net61,10.51µm
net95,10.51µm
wdata_q\[25\],10.51µm
net375,10.34µm
net68,10.33µm
_216_,10.32µm
_259_,10.32µm
net548,10.26µm
net384,10.2µm
_158_,10.08µm
_104_,10.03µm
net570,10.03µm
_273_,9.96µm
net349,9.91µm
net500,9.86µm
_154_,9.73µm
net57,9.72µm
net410,9.72µm
read_addr_q\[2\],9.55µm
net86,9.55µm
_213_,9.48µm
net392,9.475µm
_047_,9.37µm
_271_,9.37µm
s_axil_bready,9.3µm
s_axil_wvalid,9.3µm
net491,9.255µm
_206_,9.18µm
net567,9.18µm
_019_,9.13µm
_068_,9.13µm
sram_addr\[9\],9.12µm
wdata_q\[5\],9.12µm
_210_,9.07µm
net47,9.07µm
_021_,9µm
_085_,8.95µm
_084_,8.745µm
_195_,8.7µm
_232_,8.7µm
s_axil_bresp[1],8.66µm
s_axil_rdata[15],8.66µm
s_axil_rdata[24],8.66µm
s_axil_rdata[6],8.66µm
s_axil_rresp[1],8.66µm
_277_,8.65µm
net520,8.65µm
sram_ren,8.64µm
wdata_q\[8\],8.64µm
net564,8.64µm
_078_,8.59µm
_081_,8.59µm
_087_,8.59µm
_169_,8.59µm
net330,8.59µm
wdata_q\[10\],8.46µm
wdata_q\[16\],8.46µm
_335_,8.42µm
_306_,8.28µm
net67,8.28µm
s_axil_rdata[11],8.24µm
s_axil_rdata[20],8.24µm
s_axil_rdata[29],8.24µm
s_axil_rdata[2],8.24µm
_172_,8.22µm
_248_,8.22µm
net96,8.22µm
net558,8.22µm
net576,8.22µm
_279_,8.17µm
_302_,8.16µm
_069_,8.11µm
_071_,8.11µm
_073_,8.11µm
_083_,8.11µm
_155_,8.11µm
net50,8.11µm
_166_,8.05µm
_074_,8.02µm
_157_,8.01µm
_082_,7.99µm
wdata_q\[6\],7.98µm
